Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-45,ADISA Laptop Backpack 31 Ltrs,399.0,4.0,9387.0
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16/ref=sr_1_46?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-46,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,568.0,3.9,791.0
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_47?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-47,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)",1599.0,4.4,2081.0
https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_48?crid=2M096C61O4MLT&keywords=bags&qid=1688687061&sprefix=ba%2Caps%2C283&sr=8-48,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431.0,3.6,860.0
https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5/ref=sr_1_65?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-65,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,875.0,4.2,330.0
https://www.amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_66?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-66,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),549.0,3.9,7614.0
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_67?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-67,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",1399.0,4.3,422.0
https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ/ref=sr_1_68?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-68,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,512.0,4.0,6061.0
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_69?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-69,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,229.0,4.3,3339.0
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_70?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-70,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",249.0,4.1,9322.0
https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67/ref=sr_1_71?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-71,Half Moon Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,649.0,3.9,48.0
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_72?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-72,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",680.0,3.6,133.0
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_73?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-73,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",479.0,3.9,10260.0
https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_74?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-74,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,431.0,3.6,860.0
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_75?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-75,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843.0,3.7,904.0
https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_76?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-76,"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",818.0,4.2,3339.0
https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_77?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-77,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),1499.0,4.3,952.0
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_78?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-78,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679.0,4.0,4641.0
https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5/ref=sr_1_79?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-79,"SFANE Polyester Red Duffel Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1",387.0,4.3,307.0
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_80?crid=2M096C61O4MLT&keywords=bags&qid=1688687063&sprefix=ba%2Caps%2C283&sr=8-80,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399.0,4.7,59.0
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-81,"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",479.0,3.9,10260.0
https://www.amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-82,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),321.0,4.0,12960.0
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-83,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",1399.0,4.3,422.0
https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-84,Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),1499.0,4.3,952.0
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-85,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",679.0,4.0,4641.0
https://www.amazon.in/Girls-1522-Polyester-Designer-Waterproof-Bag-Backpack/dp/B08F9SFYXQ/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-86,BEAUTY GIRLS BY HOTSHOT 1522|School Bag|Tuition Bag|College Backpack|ForGirls&Women|Waterproof Bag,740.0,4.1,1350.0
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-87,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,229.0,4.3,3339.0
https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-88,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,981.0,4.4,3287.0
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-89,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",680.0,3.6,133.0
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0519/dp/B07G4JQX2F/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-90,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,988.0,4.4,6435.0
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_91?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-91,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399.0,4.7,59.0
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2/ref=sr_1_92?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-92,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",1329.0,4.2,502.0
https://www.amazon.in/Wildcraft-Green-Casual-Backpack-11650-Green/dp/B079DV66TY/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-93,Wildcraft 29.5 Ltrs Green Casual Backpack (11650-Green),1029.0,4.1,383.0
https://www.amazon.in/Wesley-Liter-Casual-Daypack-Backpack/dp/B0BVVY98PZ/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-94,Wesley 15 Liter Casual Daypack Backpack,169.0,4.0,35.0
https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2GPWJ/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-95,"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",399.0,4.3,79.0
https://www.amazon.in/TRUE-EMPEROR-charging-college-CAPTAIN/dp/B0C6HZDWRQ/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1688687065&sprefix=ba%2Caps%2C283&sr=8-96,"TRUE HUMAN® EMPEROR 15.6 inch laptop bag with USB charging port Laptop bag,office bag, college bags anti theft (CAPTAIN)",649.0,5.0,3.0
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBC51P/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-113,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",1329.0,4.2,502.0
https://www.amazon.in/SPENZ-BAGS-Backpack-Raincover-Dark-Blue/dp/B0C3RJP6ZM/ref=sr_1_114?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-114,"SPENZ BAGS Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover",999.0,4.6,100.0
https://www.amazon.in/Skybags-Unisex-Adjustable-Polyester-Backpack/dp/B0BJ74KLLY/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-115,Skybags Kick Unisex Adjustable Strap Polyester Laptop Backpack,1349.0,4.1,45.0
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-116,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929.0,4.0,1069.0
https://www.amazon.in/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D3YR7T/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-117,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",399.0,4.7,59.0
https://www.amazon.in/FUR-JADEN-Waterproof-Charging-BM25_Grey/dp/B07FM9BSKW/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1688687066&sprefix=ba%2Caps%2C283&sr=8-118,FUR JADEN 15.6 Anti Theft Laptop Backpack with USB Charging Port Unisex Bag for College Office Suitable for Men Women,749.0,4.0,6104.0
